Date,Open,High,Low,Close,Volume
2012-05-14,2.128,2.142,2.00333,2.004,21132405.0
2012-05-11,2.166,2.22933,2.144,2.15,18318075.0
2012-05-10,2.198,2.312,2.16,2.19733,84571260.0
2012-05-09,2.02,2.05133,1.984,2.004,29039895.0
2012-05-08,2.16667,2.182,1.958,2.01267,46997280.0
2012-05-07,2.13067,2.172,2.10733,2.16467,17369535.0
2012-05-04,2.15467,2.164,2.09333,2.122,18712290.0
2012-05-03,2.26067,2.26667,2.142,2.164,12631605.0
2012-05-02,2.23333,2.29267,2.226,2.26267,7458765.0
2012-05-01,2.20867,2.28067,2.20867,2.252,10247970.0
2012-04-30,2.218,2.224,2.172,2.20867,6207720.0
2012-04-27,2.24,2.242,2.194,2.22267,8863575.0
2012-04-26,2.19733,2.23467,2.194,2.23267,6385785.0
2012-04-25,2.138,2.19933,2.138,2.194,10681995.0
2012-04-24,2.12133,2.14667,2.06667,2.12133,10117005.0
2012-04-23,2.19067,2.198,2.114,2.12933,13360725.0
2012-04-20,2.20933,2.24867,2.196,2.21067,12326610.0
2012-04-19,2.18333,2.22867,2.16667,2.21067,11623170.0
2012-04-18,2.13933,2.18333,2.102,2.17733,12346440.0
2012-04-17,2.162,2.20467,2.136,2.14933,16733070.0
2012-04-16,2.23867,2.24667,2.13933,2.15,16496265.0
2012-04-13,2.26267,2.26933,2.19,2.23933,9743700.0
2012-04-12,2.25133,2.29867,2.19467,2.22933,15507060.0
2012-04-11,2.216,2.21933,2.134,2.206,16581705.0
2012-04-10,2.21,2.25667,2.14,2.164,27715035.0
2012-04-09,2.27333,2.286,2.20667,2.21,23332125.0
2012-04-05,2.34,2.36267,2.312,2.314,15116460.0
2012-04-04,2.35133,2.366,2.31267,2.33333,67225875.0
2012-04-03,2.448,2.56467,2.44467,2.534,16521300.0
2012-04-02,2.48867,2.53133,2.43533,2.43867,15427560.0
2012-03-30,2.516,2.52933,2.44533,2.48267,13294680.0
2012-03-29,2.546,2.546,2.46867,2.48867,11945025.0
2012-03-28,2.51933,2.56267,2.474,2.52333,14324550.0
2012-03-27,2.47733,2.66333,2.46867,2.52933,38100795.0
2012-03-26,2.37333,2.53933,2.336,2.49333,47113365.0
2012-03-23,2.29533,2.30867,2.21,2.272,17558505.0
2012-03-22,2.33133,2.34333,2.28667,2.29333,6881385.0
2012-03-21,2.32933,2.35333,2.30667,2.34333,9106545.0
2012-03-20,2.332,2.34667,2.30467,2.33067,8505015.0
2012-03-19,2.35067,2.35467,2.30267,2.332,15233790.0
2012-03-16,2.33267,2.39267,2.322,2.35467,9601380.0
2012-03-15,2.352,2.36533,2.31867,2.33333,8573940.0
2012-03-14,2.4,2.4,2.32,2.35267,12771960.0
2012-03-13,2.43333,2.43933,2.36667,2.406,15024645.0
2012-03-12,2.31267,2.41933,2.30667,2.40067,29467800.0
2012-03-09,2.21333,2.354,2.21333,2.316,23299845.0
2012-03-08,2.20733,2.23267,2.20267,2.20467,9499005.0
2012-03-07,2.20733,2.22,2.194,2.208,4120935.0
2012-03-06,2.21667,2.21867,2.17467,2.20733,8606235.0
2012-03-05,2.27733,2.29333,2.23067,2.25133,7004070.0
2012-03-02,2.284,2.3,2.24733,2.26933,8249565.0
2012-03-01,2.234,2.3,2.22067,2.294,10551525.0
2012-02-29,2.254,2.27467,2.20933,2.22733,8035260.0
2012-02-28,2.246,2.296,2.21133,2.254,9182745.0
2012-02-27,2.22733,2.26667,2.2,2.24133,9089295.0
2012-02-24,2.29933,2.30133,2.218,2.25,14397990.0
2012-02-23,2.266,2.33133,2.23733,2.302,12305175.0
2012-02-22,2.3,2.31467,2.16667,2.28133,24824775.0
2012-02-21,2.32467,2.32467,2.254,2.3,17036820.0
2012-02-17,2.266,2.33133,2.23333,2.33133,20649675.0
2012-02-16,2.23333,2.30067,2.16933,2.27933,31178250.0
2012-02-15,2.20667,2.294,2.15133,2.24,40337115.0
2012-02-14,2.10933,2.25267,2.09333,2.21133,27161625.0
2012-02-13,2.10333,2.13733,2.06,2.09933,17367870.0
2012-02-10,2.15067,2.15133,1.98933,2.07333,28154625.0
2012-02-09,2.13333,2.19333,2.09533,2.172,19162140.0
2012-02-08,2.10733,2.134,2.086,2.12867,9354390.0
2012-02-07,2.12,2.12,2.05467,2.10667,14089725.0
2012-02-06,2.07333,2.12667,2.07,2.12,9782415.0
2012-02-03,2.02733,2.08867,2.01667,2.07667,11466270.0
2012-02-02,1.98133,2.05867,1.97333,2.01667,11872260.0
2012-02-01,1.942,1.98,1.93333,1.972,7847535.0
2012-01-31,1.992,2.0,1.92467,1.938,14346195.0
2012-01-30,1.96533,1.974,1.902,1.97133,10352205.0
2012-01-27,1.9,1.98133,1.9,1.95533,11225415.0
2012-01-26,1.86667,1.972,1.86667,1.92933,19065420.0
2012-01-25,1.818,1.86733,1.80333,1.86467,9166680.0
2012-01-24,1.77533,1.84533,1.76267,1.828,12868710.0
2012-01-23,1.78733,1.814,1.77333,1.78467,8917995.0
2012-01-20,1.79467,1.8,1.76,1.77333,9716835.0
2012-01-19,1.80133,1.84933,1.774,1.784,18693330.0
2012-01-18,1.77933,1.792,1.75,1.78733,18902745.0
2012-01-17,1.77733,1.82267,1.76067,1.77333,69770865.0
2012-01-13,1.89667,1.9,1.50933,1.51933,82544295.0
2012-01-12,1.88467,1.908,1.854,1.88333,10939500.0
2012-01-11,1.84133,1.892,1.82,1.882,10083585.0
2012-01-10,1.82933,1.85067,1.81667,1.84133,10075980.0
2012-01-09,1.8,1.83267,1.74133,1.81667,13454265.0
2012-01-06,1.81667,1.85267,1.76067,1.794,14794305.0
2012-01-05,1.85067,1.862,1.79,1.808,15081480.0
2012-01-04,1.88067,1.91133,1.83333,1.84733,9246990.0
2012-01-03,1.92933,1.96667,1.84333,1.872,13920780.0
2011-12-30,1.89933,1.932,1.88333,1.904,5097900.0
2011-12-29,1.906,1.956,1.90333,1.91533,7322250.0
2011-12-28,1.93267,1.94933,1.86933,1.90067,8627070.0
2011-12-27,1.844,1.918,1.84267,1.90467,11661045.0
2011-12-23,1.86667,1.86667,1.83467,1.86,8870850.0
2011-12-22,1.84,1.87,1.82,1.85133,15139530.0
2011-12-21,1.86067,1.87133,1.73533,1.838,25581105.0
2011-12-20,1.87,1.89667,1.848,1.86,12649215.0
2011-12-19,1.874,1.9,1.82467,1.85,14804280.0
2011-12-16,1.91667,1.92867,1.86533,1.86667,15444075.0
2011-12-15,1.924,1.94467,1.87467,1.908,9704430.0
2011-12-14,1.96667,1.97867,1.86667,1.902,17457600.0
2011-12-13,2.038,2.062,1.92733,1.96333,14910225.0
2011-12-12,2.02933,2.04133,2.00133,2.02733,11379855.0
2011-12-09,2.036,2.07467,2.01867,2.06933,18591660.0
2011-12-08,2.056,2.11,1.974,2.05933,49589175.0
2011-12-07,2.30867,2.326,2.25333,2.27933,10113660.0
2011-12-06,2.28,2.332,2.26867,2.32467,14275650.0
2011-12-05,2.23533,2.33333,2.22867,2.29467,17400750.0
2011-12-02,2.18867,2.246,2.16,2.22,12040770.0
2011-12-01,2.17133,2.266,2.132,2.17333,15451620.0
2011-11-30,2.18133,2.19533,2.148,2.18267,11403975.0
2011-11-29,2.16667,2.20467,2.10867,2.11667,8865810.0
2011-11-28,2.13333,2.21867,2.12067,2.17067,10216860.0
2011-11-25,2.124,2.16067,2.072,2.11067,3593925.0
2011-11-23,2.11733,2.13667,2.08333,2.09667,6775695.0
2011-11-22,2.11733,2.186,2.07,2.138,10987770.0
2011-11-21,2.15267,2.16267,2.07,2.11733,15472860.0
2011-11-18,2.24267,2.274,2.16933,2.17333,13540935.0
2011-11-17,2.3,2.32667,2.21267,2.24533,20238975.0
2011-11-16,2.232,2.33333,2.22667,2.32933,27497040.0
2011-11-15,2.19467,2.29333,2.182,2.262,13363575.0
2011-11-14,2.2,2.236,2.17467,2.21467,19884840.0
2011-11-11,2.12667,2.3,2.038,2.24267,58024140.0
2011-11-10,2.06267,2.1,2.04333,2.08867,11209095.0
2011-11-09,2.058,2.09933,2.02,2.05867,13353855.0
2011-11-08,2.09133,2.13333,2.048,2.12267,17517450.0
2011-11-07,2.10933,2.13333,2.05,2.08467,18994035.0
2011-11-04,2.09733,2.16,2.034,2.154,45496605.0
2011-11-03,2.0,2.166,1.96867,2.164,37659045.0
2011-11-02,1.93333,1.95067,1.88333,1.914,13132815.0
2011-11-01,1.89333,1.928,1.86667,1.92533,9536625.0
2011-10-31,1.96667,1.96733,1.91667,1.958,17009535.0
2011-10-28,1.89667,2.0,1.86733,1.99133,18959595.0
2011-10-27,1.88933,1.93,1.874,1.91733,13040025.0
2011-10-26,1.88333,1.89133,1.82667,1.86533,7657185.0
2011-10-25,1.882,1.924,1.85333,1.88333,9815565.0
2011-10-24,1.858,1.926,1.85,1.90333,13811640.0
2011-10-21,1.82667,1.88667,1.80067,1.86867,17138250.0
2011-10-20,1.82933,1.83133,1.8,1.82267,14994705.0
2011-10-19,1.87067,1.87067,1.82,1.838,11892750.0
2011-10-18,1.82,1.89533,1.78067,1.88933,14995350.0
2011-10-17,1.85733,1.86667,1.81733,1.828,11316585.0
2011-10-14,1.86733,1.90333,1.81733,1.87,21007035.0
2011-10-13,1.84867,1.898,1.82933,1.86267,15651195.0
2011-10-12,1.81667,1.86667,1.81333,1.85333,16850460.0
2011-10-11,1.834,1.85133,1.806,1.84067,8634045.0
2011-10-10,1.82333,1.87867,1.8,1.85867,13851240.0
2011-10-07,1.8,1.84,1.73667,1.79933,16390275.0
2011-10-06,1.69867,1.84,1.668,1.79733,26535390.0
2011-10-05,1.602,1.722,1.55667,1.69133,18441210.0
2011-10-04,1.55267,1.62133,1.52867,1.57733,18003210.0
2011-10-03,1.66333,1.66667,1.55,1.582,15346950.0
2011-09-30,1.65333,1.65933,1.566,1.626,20040810.0
2011-09-29,1.71467,1.72133,1.57,1.608,13943175.0
2011-09-28,1.73333,1.76667,1.634,1.63933,10848090.0
2011-09-27,1.73333,1.79933,1.70467,1.746,10116435.0
2011-09-26,1.76667,1.768,1.66,1.70133,14020725.0
2011-09-23,1.69467,1.77467,1.69,1.75867,17344920.0
2011-09-22,1.70933,1.74067,1.65867,1.70867,11637030.0
2011-09-21,1.73,1.79667,1.71333,1.72333,14813655.0
2011-09-20,1.718,1.77333,1.71133,1.734,17705265.0
2011-09-19,1.662,1.72067,1.588,1.718,16065945.0
2011-09-16,1.63267,1.72267,1.63267,1.72,21256110.0
2011-09-15,1.63867,1.662,1.622,1.65467,8437680.0
2011-09-14,1.62267,1.656,1.586,1.62267,12461655.0
2011-09-13,1.534,1.60667,1.51667,1.60533,10896915.0
2011-09-12,1.526,1.554,1.49667,1.52533,8498565.0
2011-09-09,1.558,1.57133,1.50333,1.53133,10038945.0
2011-09-08,1.572,1.602,1.552,1.574,7585455.0
2011-09-07,1.56133,1.6,1.552,1.58933,6887790.0
2011-09-06,1.5,1.54667,1.486,1.52933,12146400.0
2011-09-02,1.584,1.584,1.512,1.538,10188075.0
2011-09-01,1.644,1.658,1.58933,1.6,12721275.0
2011-08-31,1.65333,1.7,1.61867,1.64933,12356025.0
2011-08-30,1.63333,1.65133,1.606,1.642,5492385.0
2011-08-29,1.61467,1.65667,1.60133,1.64733,12049530.0
2011-08-26,1.514,1.59667,1.47133,1.582,11426340.0
2011-08-25,1.59133,1.59133,1.52667,1.54067,10196100.0
2011-08-24,1.54,1.59533,1.522,1.59133,10263570.0
2011-08-23,1.462,1.54067,1.43333,1.53067,13034520.0
2011-08-22,1.54067,1.58667,1.44533,1.46333,14791215.0
2011-08-19,1.58667,1.61467,1.46667,1.48667,20629155.0
2011-08-18,1.66667,1.67667,1.56467,1.61733,15848535.0
2011-08-17,1.75933,1.77667,1.70067,1.722,9655080.0
2011-08-16,1.742,1.76933,1.722,1.74,8065320.0
